Country,Year,Month,Average Surface Temperature
Andorra,2025,11,1.9364526150175152
Andorra,2025,12,-2.6989518247455635
Andorra,2026,1,-3.6528546721556268
Andorra,2026,2,-2.8717335117244147
Andorra,2026,3,1.1474016869078696
Andorra,2026,4,6.486639666681185
Andorra,2026,5,11.592956694986242
Andorra,2026,6,15.300717553499453
Andorra,2026,7,16.85417652819251
Andorra,2026,8,15.929978399090942
Andorra,2026,9,12.659659430283682
Andorra,2026,10,7.652148359779858
Andorra,2026,11,2.0162673893401006
Andorra,2026,12,-2.616766825466584
Andorra,2027,1,-3.584824146516439
Andorra,2027,2,-2.798413966159387
Andorra,2027,3,1.223885720578437
Andorra,2027,4,6.564755413434796
Andorra,2027,5,11.671693599576429
Andorra,2027,6,15.37951774355406
Andorra,2027,7,16.932865277151905
Andorra,2027,8,16.00869458928082
Andorra,2027,9,12.738786015889673
Andorra,2027,10,7.732242829905772
Andorra,2027,11,2.0979922310370966
Andorra,2027,12,-2.5327136642254118
Andorra,2028,1,-3.5157370370970966
Andorra,2028,2,-2.723806678796791
Andorra,2028,3,1.3018500397965909
Andorra,2028,4,6.644507892638103
Andorra,2028,5,11.752190104177316
Andorra,2028,6,15.460169339222375
Andorra,2028,7,17.013468692833158
Andorra,2028,8,16.089362680247177
Andorra,2028,9,12.81987822672545
Andorra,2028,10,7.814295657522052
Andorra,2028,11,2.1816496877590907
Andorra,2028,12,-2.446769587749259
Andorra,2029,1,-3.4455757601563164
Andorra,2029,2,-2.647893322332493
Andorra,2029,3,1.3813136617181954
Andorra,2029,4,6.725916757645791
Andorra,2029,5,11.834466444580357
Andorra,2029,6,15.542693105025137
Andorra,2029,7,17.09600801479337
Andorra,2029,8,16.172004332846882
Andorra,2029,9,12.902958091254732
Andorra,2029,10,7.898329185039074
Andorra,2029,11,2.2672623620937884
Andorra,2029,12,-2.358911786918725
Andorra,2030,1,-3.3743226850338033
Andorra,2030,2,-2.5706555217284404
Andorra,2030,3,1.4622956520734078
Andorra,2030,4,6.809001711132623
Andorra,2030,5,11.918542906704715
Andorra,2030,6,15.627109856465722
Andorra,2030,7,17.18050453437263
Andorra,2030,8,16.256641260592914
Andorra,2030,9,12.98804769140861
Andorra,2030,10,7.984365809051269
Andorra,2030,11,2.3548529116606005
Andorra,2030,12,-2.2691173967932627
Andorra,2031,1,-3.301960134055662
Andorra,2031,2,-2.492074854099883
Andorra,2031,3,1.5448151252212483
Andorra,2031,4,6.893782505231684
Andorra,2031,5,12.004439826757334
Andorra,2031,6,15.713440460077436
Andorra,2031,7,17.266979594755867
Andorra,2031,8,16.343295229607065
Andorra,2031,9,13.075169162530983
Andorra,2031,10,8.072427980460816
Andorra,2031,11,2.444444049201593
Andorra,2031,12,-2.177363496552971
Andorra,2032,1,-3.228470382501655
Andorra,2032,2,-2.412132848762667
Andorra,2032,3,1.6288912441423236
Andorra,2032,4,6.980278941498
Andorra,2032,5,12.092177591185646
Andorra,2032,6,15.801705833474443
Andorra,2032,7,17.355454591038324
Andorra,2032,8,16.43198805870361
Andorra,2032,9,13.164344693498606
Andorra,2032,10,8.162538204459452
Andorra,2032,11,2.5360585425341924
Andorra,2032,12,-2.0836271094694894
Andorra,2033,1,-3.1538356585942893
Andorra,2033,2,-2.330810987105906
Andorra,2033,3,1.7145432205188627
Andorra,2033,4,7.068510871032231
Andorra,2033,5,12.181776636735776
Andorra,2033,6,15.891926945409978
Andorra,2033,7,17.44595097018191
Andorra,2033,8,16.522741619447515
Andorra,2033,9,13.255596526728368
Andorra,2033,10,8.254719040612144
Andorra,2033,11,2.6297192146348607
Andorra,2033,12,-1.9878852028150504
Andorra,2034,1,-3.0780381434151423
Andorra,2034,2,-2.2480907026101704
Andorra,2034,3,1.8017903148074765
Andorra,2034,4,7.15849819444793
Andorra,2034,5,12.273257450547135
Andorra,2034,6,15.984124815772702
Andorra,2034,7,17.538490231204378
Andorra,2034,8,16.615577836183547
Andorra,2034,9,13.348946958217311
Andorra,2034,10,8.348993102871646
Andorra,2034,11,2.7254489437009397
Andorra,2034,12,-1.8901146878733925
Andorra,2035,1,-3.001059970879396
Andorra,2035,2,-2.1639533807710905
Andorra,2035,3,1.8906518361991402
Andorra,2035,4,7.250260861980678
Andorra,2035,5,12.366640570123309
Andorra,2035,6,16.078320515670384
Andorra,2035,7,17.633093925077446
Andorra,2035,8,16.71051868606537
Andorra,2035,9,13.444418337579009
Andorra,2035,10,8.445383059611231
Andorra,2035,11,2.8232706631652036
Andorra,2035,12,-1.7902924198670007
Angola,2025,1,20.436413044769324
Angola,2025,2,21.13004966061726
Angola,2025,3,22.03127504383974
Angola,2025,4,23.020491242460594
Angola,2025,5,23.950138415996662
Angola,2025,6,24.66719582528185
Angola,2025,7,25.03568282244396
Angola,2025,8,24.959159840732354
Angola,2025,9,24.40322938450572
Angola,2025,10,23.418037019012445
Angola,2025,11,22.16077236037472
Angola,2025,12,20.918170065467166
Angola,2026,1,20.47556511210223
Angola,2026,2,21.17564738488454
Angola,2026,3,22.081601995011624
Angola,2026,4,23.07420721635299
Angola,2026,5,24.0062098972312
Angola,2026,6,24.724826450409637
Angola,2026,7,25.09424384286558
Angola,2026,8,25.018120585785255
Angola,2026,9,24.462087724413323
Angola,2026,10,23.47624982797879
Angola,2026,11,22.217685979537237
Angola,2026,12,20.97295076595492
Angola,2027,1,20.51561588079221
Angola,2027,2,21.222318203243958
Angola,2027,3,22.1331429654756
Angola,2027,4,23.129247184603628
Angola,2027,5,24.063686915292237
Angola,2027,6,24.783918239570085
Angola,2027,7,25.154298256756192
Angola,2027,8,25.078586073396764
Angola,2027,9,24.522443793100138
Angola,2027,10,23.53593750645905
Angola,2027,11,22.276038280965622
Angola,2027,12,21.02912315089361
Angola,2028,1,20.556583180667985
Angola,2028,2,21.270080593615603
Angola,2028,3,22.1859170275211
Angola,2028,4,23.185630760218373
Angola,2028,5,24.122589570096352
Angola,2028,6,24.844491725937587
Angola,2028,7,25.215866976855068
Angola,2028,8,25.140577542141727
Angola,2028,9,24.584319101247274
Angola,2028,10,23.597121783594957
Angola,2028,11,22.335851158525657
Angola,2028,12,21.086709225132836
Angola,2029,1,20.598484889328574
Angola,2029,2,21.31895308250114
